relpath,edge_pixels,max_area,circularity,solidity,std_intensity,num_crack_contours,label
Cracked\damaged_1.jpg,50091,1715.5,0.024385408510400046,0.23356024506466985,50.91693547463619,509,1
Cracked\damaged_10.jpg,91334,1971.5,0.05883107438256109,0.4588618643081578,45.79460269051534,781,1
Cracked\damaged_100.jpg,13567,536.5,0.0015226891653166985,0.012517936931997153,46.038825897847325,42,1
Cracked\damaged_101.jpg,203,27.0,0.01829923568580469,0.23788546255506607,49.96538391195669,4,1
Cracked\damaged_102.jpg,7875,3387.0,0.4637918149939638,0.7893264973199721,51.205775745561475,45,1
Cracked\damaged_103.jpg,4418,264.0,0.003337984630538187,0.030199039121482498,58.52879934646533,26,1
Cracked\damaged_104.jpg,1030,140.5,0.0008129660496627378,0.001978288111966883,46.0242405601046,3,1
Cracked\damaged_105.jpg,10605,188.0,0.3909105294355325,0.8867924528301887,49.91649088897414,60,1
Cracked\damaged_106.jpg,2156,256.5,0.000933562777892163,0.0023618349569989503,53.788388254528314,5,1
Cracked\damaged_107.jpg,3339,149.5,0.0022156744495627156,0.007720711648204095,52.92454649183289,24,1
Cracked\damaged_108.jpg,3612,129.5,0.0016095855177283012,0.003592880824559213,34.56033588124693,30,1
Cracked\damaged_109.jpg,8992,85.5,0.6987331443822946,0.9144385026737968,55.18270101546013,57,1
Cracked\damaged_11.jpg,3272,234.5,0.12502943389245044,0.7095310136157338,74.50551178673302,11,1
Cracked\damaged_110.jpg,6207,305.5,0.0008117305995835375,0.002391024462019496,60.78731440476289,17,1
Cracked\damaged_111.jpg,7148,554.0,0.5610129485078416,0.8738170347003155,41.76866171536832,49,1
Cracked\damaged_112.jpg,15601,266.5,0.00048494239463010326,0.0014004755836409739,45.320527664731735,95,1
Cracked\damaged_113.jpg,8503,2092.0,0.7964369112547387,0.981468449448745,66.64688295697589,73,1
Cracked\damaged_114.jpg,3251,220.0,0.001073566799539495,0.003973629549354285,46.97313247676518,27,1
Cracked\damaged_115.jpg,1541,106.5,0.0013419423883266734,0.004887002409085695,49.92343490469724,14,1
Cracked\damaged_116.jpg,2442,34.0,0.0028403130313196263,0.021026592455163882,46.64645310110282,10,1
Cracked\damaged_117.jpg,6709,149.0,0.0014434250951310549,0.003267651348180313,52.8950084559717,38,1
